2026-08-13 01:46:36 | INFO     | run                  | ======================================================================
2026-08-13 01:56:52 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-08-13 01:56:52 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-08-13 01:56:52 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-08-13 01:56:52 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-08-13 01:56:52 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-08-13 01:56:52 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-08-13 01:56:52 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-08-13 01:56:52 | DEBUG    | parse_html           | Table shape: (490, 11)
2026-08-13 01:56:52 | INFO     | parse_html           | ✅ HTML parsed successfully (490 rows)
2026-08-13 01:56:52 | INFO     | clean_data           | Cleaning data...
2026-08-13 01:56:52 | DEBUG    | clean_data           | Initial shape: (490, 11)
2026-08-13 01:56:52 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-08-13 01:56:52 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-08-13 01:56:52 | WARNING  | clean_data           | Column CHANGE (%): 490 values could not be converted to numeric
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-08-13 01:56:52 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-08-13 01:56:52 | INFO     | clean_data           | ✅ Data cleaned (490 rows, 16 columns)
2026-08-13 01:56:52 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-08-13 01:56:52 | DEBUG    | get_file_path        | Generated file path: data/2026/08/2026-08-13.xlsx
2026-08-13 01:56:52 | INFO     | save_data            | Saving data to: data/2026/08/2026-08-13.xlsx
2026-08-13 01:56:52 | DEBUG    | _create_backup       | Backup created: data/2026/08/backups/2026-08-13_backup_20260813_015652.xlsx
2026-08-13 01:56:52 | DEBUG    | save_data            | Existing file found, merging data...
2026-08-13 01:56:52 | DEBUG    | save_data            | Loaded 980 existing rows
2026-08-13 01:56:52 | DEBUG    | save_data            | Combined to 1470 rows
2026-08-13 01:56:52 | DEBUG    | save_data            | Writing to temporary file...
2026-08-13 01:56:52 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/08/tmpux1sefhh.xlsx
2026-08-13 01:56:52 | DEBUG    | save_data            | Temp file moved to final location
2026-08-13 01:56:52 | INFO     | save_data            | ✅ Data saved successfully (1470 total rows, 116,294 bytes)
2026-08-13 01:56:52 | INFO     | run                  | ======================================================================
2026-08-13 01:56:52 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-08-13 01:56:52 | INFO     | run                  |    ✅ Status: SUCCESS
2026-08-13 01:56:52 | INFO     | run                  |    - Rows processed: 490
2026-08-13 01:56:52 | INFO     | run                  |    - Unique symbols: 490
2026-08-13 01:56:52 | INFO     | run                  |    - Timestamp: 2026-08-13 06:56:48
2026-08-13 01:56:52 | INFO     | run                  |    - File: data/2026/08/2026-08-13.xlsx
2026-08-13 01:56:52 | INFO     | run                  | ======================================================================
2026-08-13 01:56:52 | DEBUG    | run                  | Sample data (first row):
2026-08-13 01:56:52 | DEBUG    | run                  | {'SYMBOL': 'CNERGY', 'SECTOR': 825, 'LDCP': 12.84, 'OPEN': 12.84, 'HIGH': 13.25, 'LOW': 12.7, 'CURRENT': 13.11, 'CHANGE': 0.27, 'CHANGE (%)': nan, 'VOLUME': 67754373, 'YEAR': 2026, 'MONTH': 8, 'DAY': 13, 'HOUR': 6, 'MINUTE': 56, 'DATETIME': '2026-08-13 06:56'}
2026-08-13 01:56:52 | DEBUG    | close                | Session closed
2026-08-13 02:01:53 | INFO     | run                  | ======================================================================
2026-08-13 02:01:53 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-08-13 02:01:53 | INFO     | run                  | ======================================================================
2026-08-13 02:01:53 | INFO     | run                  | Execution Time: 2026-08-13 07:01:53 PKT
2026-08-13 02:01:53 | INFO     | run                  | Configuration:
2026-08-13 02:01:53 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-08-13 02:01:53 | INFO     | run                  |    - Data directory: data
2026-08-13 02:01:53 | INFO     | run                  |    - Log directory: logs
2026-08-13 02:01:53 | INFO     | run                  |    - Excluded symbols: {'XD', 'XR', 'XS', 'XT'}
2026-08-13 02:01:53 | INFO     | run                  | ======================================================================
2026-08-13 02:01:53 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-08-13 02:01:53 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-08-13 02:01:57 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-08-13 02:01:59 | DEBUG    | fetch_data           | Response status: 200
2026-08-13 02:01:59 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-08-13 02:01:59 | DEBUG    | fetch_data           | Response size: 470282 bytes
2026-08-13 02:01:59 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-08-13 02:01:59 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-08-13 02:01:59 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-08-13 02:01:59 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-08-13 02:01:59 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-08-13 02:01:59 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-08-13 02:01:59 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-08-13 02:01:59 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-08-13 02:01:59 | DEBUG    | parse_html           | Table shape: (490, 11)
2026-08-13 02:01:59 | INFO     | parse_html           | ✅ HTML parsed successfully (490 rows)
2026-08-13 02:01:59 | INFO     | clean_data           | Cleaning data...
2026-08-13 02:01:59 | DEBUG    | clean_data           | Initial shape: (490, 11)
2026-08-13 02:01:59 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-08-13 02:01:59 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-08-13 02:01:59 | WARNING  | clean_data           | Column CHANGE (%): 490 values could not be converted to numeric
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-08-13 02:01:59 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-08-13 02:01:59 | INFO     | clean_data           | ✅ Data cleaned (490 rows, 16 columns)
2026-08-13 02:01:59 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-08-13 02:01:59 | DEBUG    | get_file_path        | Generated file path: data/2026/08/2026-08-13.xlsx
2026-08-13 02:01:59 | INFO     | save_data            | Saving data to: data/2026/08/2026-08-13.xlsx
2026-08-13 02:01:59 | DEBUG    | _create_backup       | Backup created: data/2026/08/backups/2026-08-13_backup_20260813_020159.xlsx
2026-08-13 02:01:59 | DEBUG    | save_data            | Existing file found, merging data...
2026-08-13 02:01:59 | DEBUG    | save_data            | Loaded 1470 existing rows
2026-08-13 02:01:59 | DEBUG    | save_data            | Combined to 1960 rows
2026-08-13 02:01:59 | DEBUG    | save_data            | Writing to temporary file...
2026-08-13 02:01:59 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/08/tmpeyb5d1jn.xlsx
2026-08-13 02:01:59 | DEBUG    | save_data            | Temp file moved to final location
2026-08-13 02:01:59 | INFO     | save_data            | ✅ Data saved successfully (1960 total rows, 152,748 bytes)
2026-08-13 02:01:59 | INFO     | run                  | ======================================================================
2026-08-13 02:01:59 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-08-13 02:01:59 | INFO     | run                  |    ✅ Status: SUCCESS
2026-08-13 02:01:59 | INFO     | run                  |    - Rows processed: 490
2026-08-13 02:01:59 | INFO     | run                  |    - Unique symbols: 490
2026-08-13 02:01:59 | INFO     | run                  |    - Timestamp: 2026-08-13 07:01:53
2026-08-13 02:01:59 | INFO     | run                  |    - File: data/2026/08/2026-08-13.xlsx
2026-08-13 02:01:59 | INFO     | run                  | ======================================================================
2026-08-13 02:01:59 | DEBUG    | run                  | Sample data (first row):
2026-08-13 02:01:59 | DEBUG    | run                  | {'SYMBOL': 'CNERGY', 'SECTOR': 825, 'LDCP': 13.11, 'OPEN': 12.84, 'HIGH': 13.25, 'LOW': 12.7, 'CURRENT': 13.11, 'CHANGE': 0.27, 'CHANGE (%)': nan, 'VOLUME': 67754373, 'YEAR': 2026, 'MONTH': 8, 'DAY': 13, 'HOUR': 7, 'MINUTE': 1, 'DATETIME': '2026-08-13 07:01'}
2026-08-13 02:01:59 | DEBUG    | close                | Session closed
2026-08-13 02:07:00 | INFO     | run                  | ======================================================================
2026-08-13 02:07:00 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-08-13 02:07:00 | INFO     | run                  | ======================================================================
2026-08-13 02:07:00 | INFO     | run                  | Execution Time: 2026-08-13 07:07:00 PKT
2026-08-13 02:07:00 | INFO     | run                  | Configuration:
2026-08-13 02:07:00 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-08-13 02:07:00 | INFO     | run                  |    - Data directory: data
2026-08-13 02:07:00 | INFO     | run                  |    - Log directory: logs
2026-08-13 02:07:00 | INFO     | run                  |    - Excluded symbols: {'XD', 'XT', 'XS', 'XR'}
2026-08-13 02:07:00 | INFO     | run                  | ======================================================================
2026-08-13 02:07:00 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-08-13 02:07:00 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-08-13 02:07:04 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-08-13 02:07:05 | DEBUG    | fetch_data           | Response status: 200
2026-08-13 02:07:05 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-08-13 02:07:05 | DEBUG    | fetch_data           | Response size: 470282 bytes
2026-08-13 02:07:05 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-08-13 02:07:05 | DEBUG    | parse_json           | Attempting JSON parsing...
